Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Jamaal Lascelles,Centre-Back,20,Nottm Forest,English Championship,Newcastle,Premier League,2014-2015,600000,5000000
James McArthur,Central Midfield,26,Wigan,English Championship,Crystal Palace,Premier League,2014-2015,3000000,8800000
James Rodriguez,Attacking Midfield,23,Monaco,Ligue 1,Real Madrid,La Liga,2014-2015,60000000,75000000
Jan Oblak,Goalkeeper,21,Benfica,Liga NOS,Atletico Madrid,La Liga,2014-2015,4000000,16000000
Jannik Vestergaard,Centre-Back,22,TSG Hoffenheim,1.Bundesliga,Werder Bremen,1.Bundesliga,2014-2015,3000000,4500000
Javi Garcia,Defensive Midfield,27,Man City,Premier League,Zenit S-Pb,Premier Liga,2014-2015,12000000,16800000
Jefferson Montero,Left Winger,24,Morelia,Liga MX,Swansea,Premier League,2014-2015,3300000,5000000
Jeremy Mathieu,Centre-Back,30,Valencia CF,La Liga,FC Barcelona,La Liga,2014-2015,12000000,20000000
Joaquin Correa,Left Winger,20,Estudiantes,Argentine Primera Division,Sampdoria,Serie A,2014-2015,8000000,8400000
Jonathan de Guzman,Central Midfield,26,Villarreal CF,La Liga,SSC Napoli,Serie A,2014-2015,10000000,6000000
Jonathan Pitroipa,Right Winger,28,Stade Rennais,Ligue 1,Al-Jazira,UAE Pro-League,2014-2015,4000000,5000000
Jordon Mutch,Central Midfield,22,Cardiff,English Championship,QPR,Premier League,2014-2015,3000000,7570000
Jordon Mutch,Central Midfield,23,QPR,Premier League,Crystal Palace,Premier League,2014-2015,6000000,6340000
Joselu,Centre-Forward,24,TSG Hoffenheim,1.Bundesliga,Hannover 96,1.Bundesliga,2014-2015,3000000,5000000
Josip Drmic,Centre-Forward,21,1.FC Nuremberg,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,2014-2015,10000000,6800000
Juan Bernat,Left-Back,21,Valencia CF,La Liga,Bayern Munich ,1.Bundesliga,2014-2015,4000000,10000000
Juan Cuadrado,Right Winger,26,Fiorentina,Serie A,Chelsea,Premier League,2014-2015,32000000,31000000
Juan Iturbe,Right Winger,21,FC Porto,Liga NOS,Hellas Verona,Serie A,2014-2015,20000000,15000000
Juan Iturbe,Right Winger,21,Hellas Verona,Serie A,AS Roma,Serie A,2014-2015,20000000,24500000
Kalidou Koulibaly,Centre-Back,23,KRC Genk,Jupiler Pro League,SSC Napoli,Serie A,2014-2015,6500000,7750000
Karl Darlow,Goalkeeper,23,Nottm Forest,English Championship,Newcastle,Premier League,2014-2015,1000000,5000000
